Sl. No.,State/UT,2021,2022,2023,Mid-Year Projected Population (in Lakhs),Rate of Total Cyber Crimes (2023),Chargesheeting Rate (2023)
1,Andhra Pradesh,1875,2341,2341,532.2,4.4,34.3
2,Arunachal Pradesh,47,14,24,15.7,1.5,2.3
3,Assam,4846,1733,909,358.2,2.5,18.3
4,Bihar,1413,1621,4450,1273.7,3.5,82.7
5,Chhattisgarh,352,439,473,302.9,1.6,84.4
6,Goa,36,90,86,15.8,5.5,30.5
7,Gujarat,1536,1417,1995,717.9,2.8,52.1
8,Haryana,622,681,751,303.3,2.5,62.2
9,Himachal Pradesh,70,77,127,74.8,1.7,71.7
10,Jharkhand,953,967,1079,396.3,2.7,53.4
11,Karnataka,8136,12556,21889,678.3,32.3,18.1
12,Kerala,626,773,3295,358.2,9.2,48.5
13,Madhya Pradesh,589,826,685,869.2,0.8,93.7
14,Maharashtra,5562,8249,8103,1267.1,6.4,31
15,Manipur,67,18,3,32.3,0.1,NA
16,Meghalaya,107,75,64,33.6,1.9,7.5
17,Mizoram,30,1,31,12.4,2.5,100
18,Nagaland,8,4,2,22.4,0.1,16.7
19,Odisha,2037,1983,2348,463.7,5.1,28.3
20,Punjab,551,697,511,308,1.7,43.3
21,Rajasthan,1504,1833,2435,813.2,3,50.7
22,Sikkim,0,26,12,6.9,1.7,50
23,Tamil Nadu,1076,2082,4121,769.4,5.4,60.4
24,Telangana,10303,15297,18236,381.4,47.8,20.9
25,Tripura,24,30,36,41.6,0.9,64
26,Uttar Pradesh,8829,10117,10794,2364.8,4.6,45.6
27,Uttarakhand,718,559,494,116.8,4.2,51.2
28,West Bengal,513,401,309,992.4,0.3,80.7
Total State(S),Total State(S),52430,64907,85603,13522.4,6.3,33.7
29,Andaman and Nicobar Islands,8,28,47,4,11.7,85.7
30,Chandigarh,15,27,23,12.4,1.9,31.3
31,Dadra and Nagar Haveli and Daman and Diu,5,5,6,12.9,0.5,83.3
32,Delhi,356,685,407,214.9,1.9,49
33,Jammu and Kashmir,154,173,185,136.4,1.4,48.5
34,Ladakh,5,3,1,3,0.3,NA
35,Lakshadweep,1,1,1,0.7,1.4,NA
36,Puducherry,0,64,147,16.6,8.9,100
Total UT (S),Total UT (S),544,986,817,400.9,2,50.7
Total All India,Total All India,52974,65893,86420,13923.3,6.2,33.9
