Sl. No.,State/UT-wise,Total incidents Reported,Amount Reported (Rs in Lakhs),Lien Amount (Rs in Lakhs),Refunded Amount (Rs in Lakhs)
1,Andaman and Nicobar Islands,1685,1388.82,113.46,0.02
2,Andhra Pradesh,113439,155989.39,20378.75,200.11
3,Arunachal Pradesh,2246,5542.17,808.3,1.01
4,Assam,30821,16067.21,2017.32,27.85
5,Bihar,149857,82232.92,12095.07,124.49
6,Chandigarh,12399,11435.56,1659.94,7.6
7,Chhattisgarh,63941,40559.57,4806.79,82.62
8,Dadra and Nagar Haveli and Daman and Diu,1615,1861.01,176.51,4.3
9,Delhi,205464,194345.27,18667.93,261.7
10,Goa,6052,14906.43,1375.74,9.38
11,Gujarat,367754,274589.93,55698.11,1031.58
12,Haryana,212001,149290.62,22713.37,352.47
13,Himachal Pradesh,20503,18499.14,1833.68,6.64
14,Jammu and Kashmir,14476,17566.02,1545.27,39.52
15,Jharkhand,38632,42667.99,7326.73,51.71
16,Karnataka,252487,415117.32,40341.8,475.96
17,Kerala,83945,114292.61,16526.08,112.59
18,Ladakh,505,618.56,36.86,1.02
19,Lakshadweep,85,66.77,11.92,0
20,Madhya Pradesh,105991,79242.97,7576.84,78.93
21,Maharashtra,427607,575492.05,62187.87,918.83
22,Manipur,1992,3163.44,386.71,8.08
23,Meghalaya,2517,5230.24,320.72,0.93
24,Mizoram,1135,1895.32,177.61,5.55
25,Nagaland,1167,1237.05,161.17,0
26,Odisha,75274,58375.72,5995.18,96.89
27,Puducherry,5255,8626.79,547.62,51.17
28,Punjab,75087,74092.69,10150.78,142.96
29,Rajasthan,267781,150912.65,18338.66,543.4
30,Sikkim,844,1462.01,118.86,0.07
31,Tamil Nadu,185584,312596.73,22650.3,172.04
32,Telangana,241666,333165.59,46809.74,610.9
33,Tripura,7143,4368.21,461.11,2.47
34,Uttarakhand,61712,31443.18,4283.43,35.69
35,Uttar Pradesh,630778,285875.57,30610.47,382.2
36,West Bengal,153110,160602.33,19169.87,210.97
Total,Total,3822550,3644819.85,438080.57,6051.65
